"ASV" "s.non-stunted_anemic" "s.non-stunted_healthy" "s.stunted_anemic" "s.stunted_healthy" "index" "stat" "p.value" "Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"22" "e23db0927268e80a7bc629e7793e11d4" 1 1 1 1 15 0.617835277487072 NA "d__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Eubacteriales" "f__Eubacteriaceae" "g__Eubacterium" NA
"23" "55b7688dfd42d9b2545d67bb5b0f086c" 0 1 1 1 14 0.337501859855163 0.4 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Acidaminococcales" "f__Acidaminococcaceae" "g__Acidaminococcus" NA
"24" "1569f7ae988e26c905ab8fab427c8a0d" 1 1 0 1 12 0.287310391170716 0.86 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Acidaminococcales" "f__Acidaminococcaceae" "g__Phascolarctobacterium" NA
"25" "08a0cf376add32f3f4b57ec1e82a7a27" 1 0 1 0 6 0.368894478040383 0.32 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Selenomonadaceae" "g__Megamonas" NA
"26" "f1c14db955660c59d2d2ac233bb9bac8" 0 1 0 0 2 0.117041147196131 0.545 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Negativicoccus" "s__Negativicoccus_succinicivorans"
"27" "03c51b5e257b8e286445b07fe1e7d80b" 1 1 1 0 11 0.454647017602145 0.36 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Dialister" "s__uncultured_bacterium"
"28" "912b5c71081a1c846093810f74229592" 0 1 0 0 2 0.117041147196131 0.575 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__uncultured" "s__uncultured_bacterium"
"29" "b6ecd20f301035741915d6c32bda2410" 1 1 1 0 11 0.247896175780266 0.945 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Allisonella" "s__uncultured_bacterium"
"30" "7a6dba47692f821cabeaf266b6b36593" 0 1 0 0 2 0.117041147196131 0.54 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" NA NA
"31" "eafd20ce1f25fbd8c737f0086f81c11b" 1 1 1 1 15 0.722153291444473 NA "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Veillonella" NA
"32" "cb7651db90d6450a7f217a71cba63017" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Anaeroglobus" "s__uncultured_organism"
"33" "44158349d8858abc6c04aada0c131da5" 1 1 1 1 15 0.626476749991227 NA "d__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Megasphaera" NA
"34" "47d2f0adc9e8063c45ed211dfd73fd63" 1 1 1 1 15 0.41478067789217 NA "d__Bacteria" "p__Fusobacteriota" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" NA
"35" "fc4854dbf215081d677c6c53cefac06a" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Fusobacteriota" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" "s__Leptotrichia_sp."
"36" "d5135e3e52ad09c3e39312bf9236b4b7" 1 1 0 0 5 0.159617376893524 0.935 "d__Bacteria" "p__Fusobacteriota" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Cetobacterium" "s__uncultured_bacterium"
"37" "b1a48afb252bbec7c17785278762731a" 0 1 0 0 2 0.117041147196131 0.54 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Mycoplasmatales" "f__Mycoplasmataceae" NA NA
"38" "257412a239b6e4937488cb2badf1d21c" 0 1 0 0 2 0.117041147196131 0.54 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Mycoplasmatales" "f__Mycoplasmataceae" "g__Candidatus_Lumbricincola" NA
"39" "d114fb4c335125128be28401522dd41a" 1 1 1 1 15 0.366617787553383 NA "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Lactococcus" "s__Lactococcus_lactis"
"40" "9fec7bdd6bd88e710bd69b15692e54a0" 1 1 1 1 15 0.983738753675929 NA "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" NA
"41" "ee6b0302402ac29fe5a19e51672a3283" 1 1 1 0 11 0.442188564140891 0.475 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Leuconostocaceae" "g__Weissella" NA
"42" "336328788c4a3075fe349be1400f9e44" 0 0 0 1 4 0.422953586501433 0.035 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Leuconostocaceae" "g__Leuconostoc" NA
"43" "b66a556d07ecadbda9e27c440ad9ff11" 0 0 1 0 3 0.21320071635561 0.14 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Pediococcus" NA
"44" "ada9bd0d79596edc984f5d145e7212d5" 1 1 1 1 15 0.832795525382296 NA "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lactobacillus" "s__Lactobacillus_mucosae"
"45" "5fb2241f25937424200751159edfaf9d" 0 0 1 0 3 0.149451349287761 0.62 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Carnobacteriaceae" "g__Dolosigranulum" "s__uncultured_bacterium"
"46" "f80abba59794e15a7eb6485d00cf1030" 0 0 1 0 3 0.21320071635561 0.145 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Aerococcaceae" "g__Facklamia" "s__metagenome"
"47" "1a65b568a8cbab6afc60587b3a3562c3" 1 1 1 1 15 0.48637345711392 NA "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Carnobacteriaceae" "g__Granulicatella" NA
"48" "a92e27080262556ed1c060b8411141f6" 1 1 1 1 15 0.87988269012812 NA "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Enterococcaceae" "g__Enterococcus" NA
"49" "40d7157cfe6c199e6a0253bccd07c3f1" 0 1 0 0 2 0.165521177720474 0.46 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Aerococcaceae" "g__Abiotrophia" "s__uncultured_bacterium"
"50" "40715490f8ad8a0b7da23b5ac0707ba1" 0 0 1 0 3 0.21320071635561 0.145 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Aerococcaceae" NA NA
"51" "085a0a901e1a1075ed87f9a660088a87" 1 0 0 0 1 0.154303349962092 0.58 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Vagococcaceae" "g__Vagococcus" NA
"52" "799b4308ac6b3570302274b3843bbbba" 0 1 1 1 14 0.302939330994515 0.82 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Staphylococcales" "f__Staphylococcaceae" "g__Staphylococcus" NA
"53" "4f937d63adb104a783ca0ebab35f480d" 0 0 1 0 3 0.201139854568658 0.27 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Erysipelotrichales" "f__Erysipelotrichaceae" "g__Turicibacter" NA
"54" "2db00fd42367a2e93a6264d2d5e897e0" 1 1 0 0 5 0.138232703275227 1 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Bacillales" "f__Bacillaceae" "g__Bacillus" NA
"55" "51c802616b1915e0dca5a87892278c26" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Bacillales" "f__Bacillaceae" "g__Anoxybacillus" NA
"56" "f29150e13f809d466f72741e55916b5e" 0 0 1 0 3 0.21320071635561 0.145 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Aerococcaceae" "g__Aerococcus" NA
"57" "3cc6aefd311bb34dc7e5362aef581ab3" 0 0 1 0 3 0.21320071635561 0.16 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Mycoplasmatales" "f__Mycoplasmataceae" "g__Ureaplasma" "s__uncultured_bacterium"
"58" "573a1b003a4f1a5c8da6c21d22650fb2" 1 0 1 1 13 0.433684405240645 0.155 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Staphylococcales" "f__Gemellaceae" "g__Gemella" NA
"59" "21e063595214c275e3ffb348610b5929" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Alicyclobacillales" "f__Alicyclobacillaceae" "g__Effusibacillus" "s__uncultured_Bacillales"
"60" "16adb82cff31bea7fdeeb330a3911c71" 0 1 1 0 8 0.145095250022002 0.575 "d__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Caldalkalibacillales" "f__Caldalkalibacillaceae" "g__Caldalkalibacillus" "s__Caldalkalibacillus_thermarum"
"61" "9e6ed1a95eee18ba2f5c3015aa2d16c7" 0 1 0 0 2 0.165521177720474 0.43 "d__Bacteria" "p__Synergistota" "c__Synergistia" "o__Synergistales" "f__Synergistaceae" "g__Cloacibacillus" "s__Cloacibacillus_evryensis"
"62" "89f8b6cf08a9c941be608629f1287d09" 1 1 1 1 15 0.469499848271415 NA "d__Bacteria" "p__Verrucomicrobiota" "c__Verrucomicrobiae" "o__Verrucomicrobiales" "f__Akkermansiaceae" "g__Akkermansia" "s__uncultured_bacterium"
"63" "6be00ecd6672ff69a6afcffc4c0ea0e2" 1 0 0 0 1 0.198444245771475 0.555 "d__Bacteria" "p__Desulfobacterota" "c__Desulfovibrionia" "o__Desulfovibrionales" "f__Desulfovibrionaceae" "g__Desulfovibrio" NA
"64" "c1624e84b1704a8e5f5f2a41d8737493" 1 1 1 0 11 0.317109853549014 0.745 "d__Bacteria" "p__Desulfobacterota" "c__Desulfovibrionia" "o__Desulfovibrionales" "f__Desulfovibrionaceae" "g__Bilophila" NA
"65" "16294d1e7cbbbf2f60c486bd6b193b90" 1 1 1 0 11 0.224230527825581 0.935 "d__Bacteria" "p__Campilobacterota" "c__Campylobacteria" "o__Campylobacterales" "f__Campylobacteraceae" "g__Campylobacter" "s__Campylobacter_jejuni"
"66" "f6a2fd593fd6c9e55852d140017fb85f" 1 1 0 0 5 0.11286652959662 1 "d__Bacteria" "p__Campilobacterota" "c__Campylobacteria" "o__Campylobacterales" "f__Helicobacteraceae" "g__Helicobacter" "s__Helicobacter_pullorum"
"67" "3a4ff29d6cf68194d4743caf64fd2f6e" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Aeromonadales" "f__Succinivibrionaceae" "g__Succinatimonas" "s__Succinatimonas_hippei"
"68" "41eedf5d7f5df51206015b816027574a" 1 1 0 0 5 0.138232703275227 1 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Aeromonadales" "f__Succinivibrionaceae" "g__Succinivibrio" "s__uncultured_rumen"
"69" "003d04e4a25b984ab74b3a737f6c3f80" 0 1 0 0 2 0.117041147196131 0.61 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Aeromonadales" "f__Succinivibrionaceae" "g__Anaerobiospirillum" "s__Anaerobiospirillum_sp."
"70" "fb790f2497af4cf27d706cc64a3ec6b8" 0 0 1 0 3 0.21320071635561 0.165 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Burkholderiales" "f__Neisseriaceae" "g__Eikenella" NA
"71" "087422543296668185908bf03de4d7aa" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Burkholderiales" "f__Alcaligenaceae" "g__Achromobacter" NA
"72" "2b1619989536df3d37e221dcc84ba7bc" 0 0 0 1 4 0.387385783685822 0.05 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Burkholderiales" "f__Sutterellaceae" "g__Parasutterella" "s__uncultured_organism"
"73" "f277bb1dfaf03a7a95c6692a4b4cc709" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Burkholderiales" "f__Comamonadaceae" "g__Delftia" NA
"74" "de426c3f26265ca163e65f377c78a30e" 0 0 1 0 3 0.18689095661661 0.24 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Burkholderiales" "f__Comamonadaceae" NA NA
"75" "2298160091c0849d6fb2353b34e28e74" 1 1 1 1 15 0.387991796831585 NA "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Burkholderiales" "f__Sutterellaceae" "g__Sutterella" NA
"76" "959aeca1a65ce24599aaed29828c33f0" 0 0 1 1 10 0.438557457498864 0.135 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" NA
"77" "f1624afb337a366b868028527c8df4c7" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Actinobacillus" "s__Haemophilus_parahaemolyticus"
"78" "ee193e3d2c6c4a64b0a43c0dea6cc587" 1 1 0 0 5 0.264695474588282 0.52 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Morganellaceae" "g__Proteus" NA
"79" "a83d067822df1efdda6e0848ca920d14" 1 1 1 0 11 0.279664603592935 0.855 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Morganellaceae" "g__Morganella" NA
"80" "dcc2608446ccb1aff20b75fa6491c2e8" 0 1 1 1 14 0.169995143333932 0.925 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Morganellaceae" "g__Providencia" NA
"81" "c9869c8ee11c511d2adf4a495d12d553" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Aeromonadales" "f__Aeromonadaceae" "g__Aeromonas" NA
"82" "f22e4f0d218aa62ff1ca039104d15a68" 1 1 1 1 15 0.958829932109797 NA "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Enterobacteriaceae" "g__Escherichia-Shigella" NA
"83" "f35f45c3bf622e774b5ec4a277a8965a" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Hafniaceae" "g__Edwardsiella" NA
"84" "5fd8757a16e27c1fde92abd8bdcc315c" 1 1 1 1 15 0.595683397181271 NA "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Enterobacteriaceae" NA NA
"85" "99190c6b1d3331fda895dbd057811e6f" 0 1 1 0 8 0.145095250022002 0.575 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Oceanospirillales" "f__Halomonadaceae" "g__Halomonas" NA
"86" "be1e2de5053765118f88dded429834fc" 1 0 0 0 1 0.109108945117996 1 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pseudomonadales" "f__Pseudomonadaceae" "g__Pseudomonas" NA
"87" "acbbcde1929f218d45cf1942ea80a3bf" 1 1 0 0 5 0.178457652562062 0.86 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pseudomonadales" "f__Moraxellaceae" "g__Acinetobacter" NA
"88" "77bbd40902de7f38a00646647d12dddf" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Xanthomonadales" "f__Xanthomonadaceae" "g__Stenotrophomonas" NA
"89" "2cff95c23850053e9bd10dbb0fa42cea" 0 1 1 0 8 0.145095250022002 0.585 "d__Bacteria" "p__Proteobacteria" "c__Alphaproteobacteria" "o__Caulobacterales" "f__Caulobacteraceae" "g__Brevundimonas" NA
"90" "ff4133d55184baa6a219dafbe5a01d15" 1 1 0 0 5 0.138232703275227 1 "d__Bacteria" "p__Proteobacteria" "c__Alphaproteobacteria" "o__Rhodospirillales" "f__uncultured" "g__uncultured" "s__Azospirillum_sp."
"91" "e7cc13d2cba0570f6978ef8c562be58c" 0 0 1 0 3 0.18689095661661 0.25 "d__Bacteria" "p__Proteobacteria" "c__Alphaproteobacteria" "o__Rhizobiales" "f__Rhizobiaceae" "g__Ochrobactrum" NA
"92" "f2837c8a4de5f5f7ef29a8494f789388" 0 0 1 0 3 0.21320071635561 0.145 "d__Bacteria" "p__Proteobacteria" "c__Alphaproteobacteria" "o__Rhodobacterales" "f__Rhodobacteraceae" "g__Paracoccus" NA
"93" "3c684f0d6d7ac4bb940b854ec8766221" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Proteobacteria" "c__Alphaproteobacteria" "o__Sphingomonadales" "f__Sphingomonadaceae" NA NA
"94" "a74607a605a3083b03f597cf03466f13" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Proteobacteria" "c__Alphaproteobacteria" "o__Sphingomonadales" "f__Sphingomonadaceae" "g__Sphingomonas" NA
"95" "318132c62090ea949b52bacd50805745" 1 1 0 0 5 0.159617376893524 0.985 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Varibaculum" NA
"96" "17b8cbca2743de33484d559e0bf12cc9" 1 1 1 1 15 0.672021505032247 NA "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" "s__Schaalia_odontolytica"
"97" "13a04871cbdbb50c0a95936574b21789" 0 1 0 0 2 0.117041147196131 0.535 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Micrococcales" "f__Micrococcaceae" NA NA
"98" "fb6690a22da8e2271123ef9019e81d07" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Micrococcales" "f__Micrococcaceae" "g__Nesterenkonia" NA
"99" "8feccd7313bcb9c4ded7d044b77ea1af" 1 1 1 0 11 0.409387060571201 0.475 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Micrococcales" "f__Micrococcaceae" "g__Rothia" "s__Rothia_mucilaginosa"
"100" "13aa26ad066185f73510c03d203821b4" 0 0 1 0 3 0.21320071635561 0.145 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Micrococcales" "f__Brevibacteriaceae" "g__Brevibacterium" NA
"101" "6feb7dcd3b2f67420b420039a234198e" 0 1 1 0 8 0.252712733561849 0.41 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Corynebacteriales" "f__Corynebacteriaceae" "g__Corynebacterium" NA
"102" "c5b395c9b51e25dd0160db0b978d5d24" 0 1 0 0 2 0.117041147196131 0.545 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Corynebacteriales" "f__Corynebacteriaceae" "g__Lawsonella" "s__uncultured_bacterium"
"103" "f9c9ad7e9de58a77ec50078616cdc7e9" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Pseudonocardiales" "f__Pseudonocardiaceae" "g__Actinomycetospora" NA
"104" "1c785f9c6513c5d602b843690d761135" 0 0 0 1 4 0.377964473009227 0.04 "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Arcanobacterium" "s__Arcanobacterium_haemolyticum"
"105" "168dc8cb9285963c9ab81ea2875b5d98" 1 1 1 1 15 0.991902700743342 NA "d__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" NA
"106" "8af4e7cdb19643568d73f45918df3f60" 0 1 0 0 2 0.117041147196131 0.525 "d__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Flavobacteriales" "f__Flavobacteriaceae" "g__uncultured" "s__gut_metagenome"
"107" "76c36a498af4efa1e65196aee7e796d0" 0 0 1 0 3 0.169637142938741 0.27 "d__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Rikenellaceae" "g__Rikenella" "s__Rikenella_microfusus"
"108" "c1b5252ba7526b48cac014ac55eb9b20" 0 1 1 1 14 0.4231823154956 0.445 "d__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Rikenellaceae" "g__Alistipes" "s__uncultured_Alistipes"
"109" "d611e03044e800bf023cfc92bec2106a" 0 1 0 0 2 0.234891516278504 0.38 "d__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Marinifilaceae" "g__Butyricimonas" NA
"110" "a730ef0685ea600be854be1842a6b362" 0 1 1 0 8 0.345833245082091 0.23 "d__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Marinifilaceae" "g__Odoribacter" NA
"111" "dea7f664eb14a09bb8d15c0e611f1f03" 0 1 0 0 2 0.117041147196131 0.53 "d__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Sphingobacteriales" "f__Sphingobacteriaceae" "g__Sphingobacterium" NA
"112" "9d06f09ba1182096addb1e9c329312f3" 0 0 1 0 3 0.21320071635561 0.145 "d__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Flavobacteriales" "f__Weeksellaceae" "g__Soonwooa" "s__Soonwooa_buanensis"
